"day","hari","tanggal","time_aedt","time_wita","hari_wita","tanggal_wita","sport","competition","home","away","title","channels","event_url"
"tue","Selasa","18/08/26","5:00AM","3:00AM","Selasa","18/08/26","Soccer","La Liga","Deportivo La Coruna","Elche","Deportivo Vs Elche | Laliga","[AU] beIN Sports Connect",""
"tue","Selasa","18/08/26","7:30PM","5:30PM","Selasa","18/08/26","Soccer","FFA Cup","Sydney FC","SD Raiders","Sydney Fc - Sd Raiders, Ffa Cup","[AU] Paramount  Australia",""
"tue","Selasa","18/08/26","3:00AM","1:00AM","Selasa","18/08/26","Soccer","LaLiga 1 2 3","Sporting Gijón","Sabadell","Sporting Gijon Vs Sabadell | Laliga 2","[AU] beIN Sports Connect",""
"tue","Selasa","18/08/26","5:00AM","3:00AM","Selasa","18/08/26","Soccer","Championship","Cardiff","Wrexham","Cardiff Vs Wrexham | Efl Championship","[AU] beIN Sports Connect | [AU] beIN SPORTS 3",""
"tue","Selasa","18/08/26","2:00AM","12:00AM","Selasa","18/08/26","Soccer","Coppa Italia","Pisa","Empoli","Pisa Vs Empoli | Coppa Italia","[AU] Paramount  Australia",""
"tue","Selasa","18/08/26","2:30AM","12:30AM","Selasa","18/08/26","Soccer","Coppa Italia","Sassuolo","Cesena","Sassuolo Vs Cesena | Coppa Italia","[AU] Paramount  Australia",""
"tue","Selasa","18/08/26","4:45AM","2:45AM","Selasa","18/08/26","Soccer","Coppa Italia","Cremonese","Sampdoria","Cremonese Vs Sampdoria | Coppa Italia","[AU] Paramount  Australia",""
"tue","Selasa","18/08/26","5:15AM","3:15AM","Selasa","18/08/26","Soccer","Coppa Italia","Palermo","Lecce","Palermo Vs Lecce | Coppa Italia","[AU] Paramount  Australia",""
"tue","Selasa","18/08/26","4:00AM","2:00AM","Selasa","18/08/26","Basketball","Olympic Games Women 2028","Brazil W","South Sudan W","Brazil Vs. South Sudan | Watch Basketball Action As Brazil Takes On South Sudan - Fiba Womens Olympic Pre-qualifying Tournament","[AU] DAZN",""
"tue","Selasa","18/08/26","6:45AM","4:45AM","Selasa","18/08/26","Basketball","Olympic Games Women 2028","Argentina W","New Zealand W","Argentina Vs. New Zealand | Watch Basketball Action As Argentina Takes On New Zealand - Fiba Womens Olympic Pre-qualifying Tournament","[AU] DAZN",""
"tue","Selasa","18/08/26","9:30AM","7:30AM","Selasa","18/08/26","Basketball","Olympic Games Women 2028","Canada W","Senegal W","Canada Vs. Senegal | Watch Basketball Action As Canada Takes On Senegal - Fiba Womens Olympic Pre-qualifying Tournament","[AU] DAZN",""
"tue","Selasa","18/08/26","12:30PM","10:30AM","Selasa","18/08/26","Basketball","Olympic Games Women 2028","Mexico W","Philippines W","Mexico Vs. Philippines | Watch Basketball Action As Mexico Takes On Philippines - Fiba Womens Olympic Pre-qualifying Tournament","[AU] DAZN",""
"tue","Selasa","18/08/26","1:00AM","11:00PM","Senin","17/08/26","Tennis","ATP Cincinnati","","","","[AU] beIN Sports Connect | [AU] beIN SPORTS 1",""
